show_id,show_name,starting_date,closing_date,venue_id,venue_name
42462,A Christmas Carol (ish),2024-11-16,2024-12-31,54939502,Soho Place
41707,Oedipus,2024-10-04,2025-01-04,125,Wyndham's Theatre
